filename,I0_mean_orig,I0_mean_filt,I0_std_orig,I0_std_filt,tau_mean_orig,tau_mean_filt,tau_std_orig,tau_std_filt,B_mean_orig,B_mean_filt,B_std_orig,B_std_filt,residuals_std_mean_orig,residuals_std_mean_filt,residuals_std_std_orig,residuals_std_std_filt
processed_data_batch_87.npz,1.429954,1.429875,0.051550,0.051649,139.537209,139.558564,0.629677,0.645753,0.023925,0.023913,0.000239,0.000369,0.003383,0.002853,0.000520,0.000573
processed_data_batch_88.npz,1.427236,1.427167,0.054745,0.054739,139.662747,139.682656,0.898728,1.131534,0.023948,0.023936,0.000257,0.000394,0.003363,0.002816,0.000563,0.000592
processed_data_batch_89.npz,1.430644,1.430643,0.054395,0.054393,139.681503,139.682089,0.842037,0.846897,0.023948,0.023947,0.000155,0.000160,0.003363,0.002816,0.000528,0.000541
processed_data_batch_90.npz,1.436962,1.436805,0.059765,0.059802,139.785133,139.827022,1.694651,1.832740,0.023933,0.023908,0.000361,0.000521,0.003446,0.002909,0.001070,0.001074
processed_data_batch_91.npz,1.424899,1.424893,0.062352,0.062353,139.604002,139.605489,0.343172,0.336185,0.024003,0.024003,0.000152,0.000156,0.003332,0.002787,0.000173,0.000237
processed_data_batch_92.npz,1.436195,1.436193,0.047914,0.047914,139.631296,139.631425,0.313476,0.313514,0.023962,0.023962,0.000105,0.000105,0.003335,0.002778,0.000098,0.000097
processed_data_batch_93.npz,1.434299,1.434216,0.047819,0.047780,139.630085,139.651506,0.342280,0.419504,0.023940,0.023927,0.000130,0.000107,0.003335,0.002799,0.000137,0.000284
processed_data_batch_94.npz,1.435739,1.435608,0.042642,0.042864,139.632387,139.667612,0.761332,0.675989,0.023868,0.023848,0.000230,0.000208,0.003446,0.002938,0.000874,0.001034
processed_data_batch_95.npz,1.433138,1.433014,0.060090,0.060179,139.610864,139.643195,0.438271,0.352363,0.023769,0.023751,0.000176,0.000226,0.003365,0.002834,0.000437,0.000590
processed_data_batch_96.npz,1.431632,1.431623,0.067347,0.067365,139.633051,139.635557,0.587401,0.610488,0.023839,0.023837,0.000160,0.000162,0.003348,0.002799,0.000223,0.000231
processed_data_batch_97.npz,1.425042,1.424915,0.062371,0.062319,139.616124,139.648475,0.308901,0.376299,0.024037,0.024018,0.000143,0.000285,0.003329,0.002799,0.000084,0.000186
processed_data_batch_98.npz,1.439088,1.439086,0.046693,0.046693,139.697560,139.697768,0.323428,0.323405,0.023958,0.023958,0.000100,0.000100,0.003319,0.002771,0.000059,0.000055
processed_data_batch_99.npz,1.435007,1.434997,0.050368,0.050362,139.546023,139.547416,0.986362,0.972250,0.023851,0.023851,0.000193,0.000188,0.003364,0.002829,0.000493,0.000563
processed_data_batch_100.npz,1.429239,1.429084,0.060719,0.060821,139.574749,139.616014,0.397907,0.545859,0.023738,0.023715,0.000210,0.000154,0.003360,0.002861,0.000293,0.000559
processed_data_batch_101.npz,1.438254,1.438252,0.045912,0.045912,139.642832,139.642988,0.286182,0.286214,0.023794,0.023794,0.000093,0.000093,0.003329,0.002788,0.000064,0.000067
