filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_80.npz,150,150,85,65,0,0.023090,0.023083,0.000070,0.000076,1.432060,1.430405,0.043534,0.044713,0.003330,0.003337,0.000061,0.000199,139.771206,139.817363,0.287996,0.527702
processed_data_batch_81.npz,150,150,84,66,0,0.023106,0.023109,0.000084,0.000079,1.426727,1.429382,0.065376,0.058014,0.003326,0.003359,0.000063,0.000316,139.809058,139.839217,0.271467,0.516263
processed_data_batch_82.npz,150,150,76,74,0,0.023082,0.023076,0.000073,0.000087,1.419180,1.422367,0.053207,0.050678,0.003338,0.003364,0.000164,0.000431,139.805127,139.784475,0.234174,0.585658
processed_data_batch_83.npz,150,150,78,72,0,0.023091,0.023086,0.000098,0.000127,1.438950,1.434183,0.034561,0.046063,0.003331,0.003398,0.000060,0.000870,139.803868,139.868543,0.270376,1.075081
processed_data_batch_84.npz,150,150,85,65,0,0.023083,0.023094,0.000085,0.000097,1.431226,1.427107,0.061113,0.064225,0.003327,0.003378,0.000057,0.000441,139.727025,139.684486,0.266368,0.727691
processed_data_batch_85.npz,150,150,78,72,0,0.023289,0.023301,0.000121,0.000119,1.416605,1.419689,0.062235,0.059596,0.003324,0.003387,0.000070,0.000806,139.737112,139.765549,0.217270,0.615452
processed_data_batch_86.npz,150,150,89,61,0,0.023583,0.023584,0.000091,0.000094,1.429223,1.431169,0.046069,0.048704,0.003332,0.003329,0.000061,0.000062,139.672758,139.668201,0.266080,0.263060
processed_data_batch_87.npz,150,150,85,65,0,0.023588,0.023586,0.000069,0.000103,1.435783,1.429762,0.050693,0.051174,0.003333,0.003406,0.000063,0.000632,139.670946,139.666739,0.233023,0.749215
processed_data_batch_88.npz,150,150,71,79,0,0.023622,0.023613,0.000081,0.000102,1.425372,1.427045,0.054518,0.054932,0.003323,0.003379,0.000062,0.000662,139.741856,139.791649,0.229953,0.496735
processed_data_batch_89.npz,150,150,80,70,0,0.023611,0.023594,0.000067,0.000095,1.437709,1.430197,0.045594,0.054294,0.003319,0.003373,0.000059,0.000550,139.795273,139.853387,0.264733,0.633448
processed_data_batch_90.npz,150,150,75,75,0,0.023641,0.023618,0.000067,0.000127,1.439558,1.436981,0.049518,0.059599,0.003318,0.003473,0.000060,0.001180,139.793387,139.866437,0.263716,1.193357
processed_data_batch_91.npz,150,150,84,66,0,0.023654,0.023663,0.000107,0.000100,1.422392,1.424665,0.068225,0.062430,0.003343,0.003343,0.000114,0.000200,139.778888,139.744142,0.350020,0.432049
processed_data_batch_92.npz,150,150,85,65,0,0.023600,0.023603,0.000081,0.000081,1.434410,1.435734,0.042499,0.048004,0.003343,0.003344,0.000075,0.000101,139.791696,139.809560,0.298696,0.276836
processed_data_batch_93.npz,150,150,78,72,0,0.023573,0.023578,0.000087,0.000084,1.431730,1.433758,0.050015,0.047790,0.003332,0.003347,0.000064,0.000178,139.821317,139.819908,0.272347,0.430261
processed_data_batch_94.npz,150,150,79,71,0,0.023525,0.023519,0.000097,0.000095,1.434738,1.435405,0.041237,0.042814,0.003330,0.003466,0.000070,0.000926,139.815455,139.784049,0.289266,0.583857
processed_data_batch_95.npz,150,150,83,67,0,0.023415,0.023405,0.000092,0.000092,1.433705,1.432653,0.052835,0.060149,0.003337,0.003380,0.000055,0.000486,139.814473,139.795927,0.227906,0.329499
processed_data_batch_96.npz,150,150,84,66,0,0.023455,0.023460,0.000139,0.000148,1.437231,1.430891,0.055246,0.067489,0.003332,0.003360,0.000063,0.000227,139.787270,139.859928,0.280859,0.601642
processed_data_batch_97.npz,150,150,90,60,0,0.023687,0.023685,0.000098,0.000092,1.428209,1.424684,0.062088,0.062416,0.003351,0.003342,0.000131,0.000112,139.740668,139.778980,0.383484,0.336175
processed_data_batch_98.npz,150,150,81,69,0,0.023603,0.023604,0.000075,0.000085,1.442218,1.438670,0.037166,0.046582,0.003333,0.003326,0.000067,0.000061,139.870907,139.866955,0.253683,0.258061
processed_data_batch_99.npz,150,150,78,72,0,0.023483,0.023481,0.000101,0.000118,1.433983,1.434293,0.054286,0.050238,0.003338,0.003377,0.000060,0.000555,139.817589,139.758012,0.267515,0.730898
processed_data_batch_100.npz,150,150,78,72,0,0.023370,0.023374,0.000080,0.000093,1.431318,1.428705,0.059703,0.060987,0.003343,0.003381,0.000058,0.000389,139.765546,139.766031,0.234885,0.681459
processed_data_batch_101.npz,150,150,81,69,0,0.023420,0.023437,0.000083,0.000083,1.446389,1.437854,0.032898,0.045915,0.003343,0.003336,0.000063,0.000064,139.789811,139.811077,0.240362,0.241013
